code,kind,name,price,comment,score,province,city,star
isfahan-safir,hotel,هتل سفیر,۶۴۵۰۰۰,(۱۹),۳.۶,اصفهان,اصفهان,(۴ ستاره)
isfahan-toloo-khorshid,hotel,هتل طلوع خورشید,۳۷۵۰۰۰,,,اصفهان,اصفهان,(۳ ستاره)
ardestan-jahangardi,hotel,هتل جهانگردی,۲۰۵۰۰۰,,,اصفهان,اردستان,(۱ ستاره)
naien-jahangardi,hotel,هتل جهانگردی,۳۵۵۰۰۰,(۱),۴,اصفهان,نایین,(۳ ستاره)
kashan-negarestan,hotel,هتل نگارستان,۵۸۴۰۰۰,(۳),۴.۱,اصفهان,کاشان,(۴ ستاره)
kashan-raheb,hotel,هتل مهینستان راهب,۷۹۲۰۰۰,(۷),۳.۷,اصفهان,کاشان,(۴ ستاره)
golpaygan-jahangardi,hotel,هتل جهانگردی,۲۴۰۰۰۰,(۴),۲.۸,اصفهان,گلپایگان,(۲ ستاره)
kashan-amirkabir,hotel,هتل امیرکبیر,۴۰۰۰۰۰,(۹),۳,اصفهان,کاشان,(۳ ستاره)
tehran-alborz,hotel,"هتل 
البرز",۳۴۷۰۰۰,(۵),۳.۶,تهران,تهران,(۳ ستاره)
qazvin-alborz,hotel,"هتل 
البرز",۴۱۴۳۰۰,(۹),۳.۸,قزوین,قزوین,(۲ ستاره)
karaj-amirkabir,hotel,هتل امیرکبیر,۳۷۳۰۰۰,(۱۶),۳.۴,البرز,کرج,(۲ ستاره)
karaj-marmar,hotel,هتل مرمر,۳۹۸۰۰۰,,,البرز,کرج,(۲ ستاره)
karaj-marmar,hotel,هتل مرمر,۳۹۸۰۰۰,,,البرز,کرج,(۲ ستاره)
karaj-amirkabir,hotel,هتل امیرکبیر,۳۷۳۰۰۰,(۱۶),۳.۴,البرز,کرج,(۲ ستاره)
ilam-zagros,hotel,هتل زاگرس,۳۶۰۰۰۰,(۶),۲.۲,ایلام,ایلام,(۳ ستاره)
ilam-dalahoo,hotel,هتل دالاهو,۲۶۶۰۰۰,(۸),۲.۳,ایلام,ایلام,(۲ ستاره)
booshehr-yaas,hotel,هتل یاس,۲۴۴۰۰۰,(۱۴),۲.۱,بوشهر,بوشهر,(۲ ستاره)
booshehr-pasargad,hotel,هتل پاسارگاد,۴۱۰۰۰۰,(۳),۳.۳,بوشهر,بوشهر,(۳ ستاره)
tehran-valiasr,hotel,هتل ولیعصر,۵۴۷۰۰۰,,,تهران,تهران,(۳ ستاره)
tehran-hejab,hotel,هتل حجاب,۴۸۰۰۰۰,(۹),۳.۳,تهران,تهران,(۳ ستاره)
tehran-homa,hotel,هتل هما,۶۵۰۰۰۰,(۴۹),۳.۷,تهران,تهران,(۵ ستاره)
tehran-espinas-palace,hotel,هتل اسپیناس پالاس,۹۰۰۰۰۰,(۱۱۸),۴,تهران,تهران,(۵ ستاره)
