code,kind,name,price,comment,score,province,city,star
lahijan-shahrzad,hotel,هتل شهرزاد,,(۵),۳.۸,گیلان,لاهیجان,(۴ ستاره)
astara-espinas,hotel,هتل اسپیناس,,(۲۵),۳.۵,گیلان,آستارا,(۴ ستاره)
astara-jahangardi,hotel,هتل جهانگردی آستارا,,(۴),۴.۵,گیلان,آستارا,(۳ ستاره)
rudsar-sirous,hotel,هتل بزرگ سیروس,,(۷),۳.۷,گیلان,رودسر,(۳ ستاره)
roodsar-bahar,hotel,هتل بهار,,(۵),۳.۴,گیلان,رودسر,(۳ ستاره)
58d2a6e423,hotel,هتل گردشکده چونچنان,,,,گیلان,کیاشهر,(۱ ستاره)
astara-abolfazl,hotel,هتل ابوالفضل,,(۱),۳,گیلان,آستارا,(۳ ستاره)
bandaranzali-nazkhazar,hotel,هتل ناز خزر,,(۱۳),۳.۶,گیلان,بندر انزلی,(۳ ستاره)
bandaranzali-almas,hotel,هتل الماس,,(۱۱),۲.۸,گیلان,بندر انزلی,(۳ ستاره)
3530127406,hotel,هتل سامان,,(۳),۲.۲,گیلان,ماسال,(۱ ستاره)
rasht-ordibehesht,hotel,هتل اردیبهشت,,(۱۴),۲.۲,گیلان,رشت,(۲ ستاره)
rasht-toranj,hotel,هتل ترنج,,,,گیلان,رودسر,(۳ ستاره)
rasht-mehregan,hotel,هتل ویلا مهرگان,,,,گیلان,صومعه سرا,(۳ ستاره)
2d6a05f553,hotel,هتل خزر,,,,گیلان,خمام,(۳ ستاره)
astara-parla,hotel,هتل پارلا,,(۴),۳.۹,گیلان,آستارا,(۴ ستاره)
astara-afra,hotel,هتل افرا,,(۳),۳.۵,گیلان,آستارا,(۳ ستاره)
lahijan-alborz,hotel,هتل مجتمع اقامتی البرز,,(۳),۱.۶,گیلان,لاهیجان,(۳ ستاره)
7f114fee78,hotel,هتل  شالیزار,,,,گیلان,لنگرود,(۳ ستاره)
0b86f0eac1,hotel,هتل امیر کبیر,,,,گیلان,ماسال,(۱ ستاره)
66512277cb,hotel,هتل جهانگردی آستارا,,,,گیلان,آستارا,(۲ ستاره)
rasht-park,hotel,هتل پارک,,(۳),۱.۶,گیلان,رشت,(۲ ستاره)
